,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kavieng,PG,83.48,light rain,-2.5744,150.7967,Kavieng Hotel
3,Rikitea,PF,78.15,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
4,Vaini,TO,87.96,light rain,-21.2,-175.2,Keleti International Resort
6,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
12,Namibe,AO,72.72,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
14,Inhambane,MZ,78.28,few clouds,-23.865,35.3833,Hotel de Inhambane
16,Atuona,PF,78.42,light rain,-9.8,-139.0333,Pearl Resort
21,Namatanai,PG,85.01,light rain,-3.6667,152.4333,Namatanai Hotel
22,Bathsheba,BB,76.89,few clouds,13.2167,-59.5167,Atlantis Hotel
26,Mareeba,AU,85.44,overcast clouds,-17.0,145.4333,The Gateway Hotel
31,New Norfolk,AU,70.92,broken clouds,-42.7826,147.0587,Woodbridge on the Derwent
35,Christchurch,NZ,86.41,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
38,Hobart,AU,71.28,scattered clouds,-42.8794,147.3294,Vibe Hotel Hobart
43,Hilo,US,82.27,few clouds,19.7297,-155.09,Dolphin Bay Hotel
54,Cockburn Town,TC,76.8,few clouds,21.4612,-71.1419,The Salt Raker Inn
55,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Horisun
57,Pangai,TO,82.17,moderate rain,-19.8,-174.35,Billy's Place
66,Richards Bay,ZA,75.47,overcast clouds,-28.783,32.0377,Protea Hotel
76,Fare,PF,80.47,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
80,Chuy,UY,70.34,clear sky,-33.6971,-53.4616,Alerces
89,Mogadishu,SO,75.99,overcast clouds,2.0371,45.3438,SYL Hotel
92,Ballina,AU,70.02,overcast clouds,-28.8667,153.5667,Ballina Beach Resort
97,Cidreira,BR,73.72,scattered clouds,-30.1811,-50.2056,Hotel Castelo
98,Sao Joao Da Barra,BR,74.84,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
99,Artigas,UY,81.3,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
102,Waingapu,ID,79.34,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
103,Ghanzi,BW,71.58,light rain,-21.5667,21.7833,Ghanzi farmhouse
105,Hualmay,PE,70.05,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
106,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Hillcrest
108,Kefamenanu,ID,72.48,overcast clouds,-9.4467,124.4781,Hotel Setangkai
110,Huarmey,PE,70.81,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
114,Resistencia,AR,84.09,clear sky,-27.4606,-58.9839,Residencial Bariloche
115,Vila Velha,BR,73.94,broken clouds,-20.3297,-40.2925,Hotel Prainha
121,Miramar,US,75.22,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
123,Ahipara,NZ,72.52,clear sky,-35.1667,173.1667,YHA Ahipara
125,Vao,NC,75.96,scattered clouds,-22.6667,167.4833,Nataiwatch
131,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
132,Isangel,VU,81.79,few clouds,-19.55,169.2667,Tanna Lodge
135,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Pono Kai Resort
137,Tual,ID,81.73,overcast clouds,-5.6667,132.75,Suita
138,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
141,Saint-Pierre,RE,76.91,light rain,-21.3393,55.4781,Tropic Hotel
142,Mitsamiouli,KM,81.73,light rain,-11.3847,43.2844,Hotel le Paradis
147,Hithadhoo,MV,80.11,light rain,-0.6,73.0833,Pebbles Inn
150,Sao Filipe,CV,73.13,clear sky,14.8961,-24.4956,Bela Vista
153,Mercedes,AR,79.79,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
156,Puerto Ayora,EC,75.54,few clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
160,Touros,BR,78.76,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
162,Riohacha,CO,78.49,broken clouds,11.5444,-72.9072,IMPERIAL
163,Honiara,SB,86.27,overcast clouds,-9.4333,159.95,King Solomon Hotel
166,Faanui,PF,80.47,light rain,-16.4833,-151.75,Oa Oa Lodge
167,Sabang,ID,80.73,overcast clouds,5.8933,95.3214,Sabang Hill
169,Kota Belud,MY,84.45,overcast clouds,6.351,116.4305,U Hotel
177,Marawi,PH,78.6,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
183,Piacabucu,BR,76.46,overcast clouds,-10.4056,-36.4344,O Leão
196,Bengkulu,ID,77.09,overcast clouds,-3.8004,102.2655,Dena Hotel
200,Mar Del Plata,AR,73.09,clear sky,-38.0023,-57.5575,Nuevo Ostende
201,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
205,Maputo,MZ,75.45,overcast clouds,-25.9653,32.5892,Mozaika
208,Mildura,AU,76.06,scattered clouds,-34.2,142.15,Chaffey Motor Inn
209,General Roca,AR,71.62,light rain,-39.0333,-67.5833,Hotel Austral
210,Tabuk,PH,74.86,scattered clouds,17.4189,121.4443,Davidson Hotel
215,Saint-Georges,GD,76.93,light rain,12.0564,-61.7485,Deyna's City Inn
224,Nabire,ID,85.01,overcast clouds,-3.3667,135.4833,Hotel Anggrek
230,Cuyo,PH,79.63,broken clouds,10.8525,121.0086,Feroland Hotel
240,Champerico,GT,76.91,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
243,Governador Valadares,BR,71.06,overcast clouds,-18.8511,-41.9494,Hotel Oitis
245,Yulara,AU,82.8,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
250,Vaitape,PF,80.46,light rain,-16.5167,-151.75,Oa Oa Lodge
255,Linhares,BR,72.07,overcast clouds,-19.3911,-40.0722,Days Inn Linhares
263,Souillac,MU,77.38,shower rain,-20.5167,57.5167,Hotel SkylineInn
264,Mandiana,GN,72.52,clear sky,10.6333,-8.6833,Hôtel Prince
265,Inirida,CO,75.74,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
269,Yurimaguas,PE,70.07,overcast clouds,-5.9,-76.0833,Hotel Rio Huallaga
270,Hambantota,LK,73.54,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
271,Sibolga,ID,80.1,broken clouds,1.7427,98.7792,Hotel Prima Indah
278,Poso,ID,84.09,overcast clouds,-1.3959,120.7524,Nusantara
286,Benguela,AO,75.07,overcast clouds,-12.5763,13.4055,Hotel Moibela
289,Manati,PR,75.56,clear sky,18.4275,-66.4921,Hyatt Place - Manatí
290,Ambilobe,MG,74.64,moderate rain,-13.2,49.05,Hôtel National
292,Mahibadhoo,MV,80.53,clear sky,3.7833,72.9667,Coral View Inn
293,Djougou,BJ,72.55,clear sky,9.7085,1.666,Le Quasar
303,Diamantino,BR,72.43,few clouds,-14.4086,-56.4461,Hotel kayaby
308,Limbang,MY,84.31,overcast clouds,4.75,115.0,Comfort Hotel
319,Jardim,BR,71.33,scattered clouds,-21.4803,-56.1381,Hotel Uchôa
321,Bouna,CI,73.4,broken clouds,9.2667,-3.0,Hôtel Éléphant  Bouna
337,Kismayo,SO,76.86,few clouds,-0.3582,42.5454,Kismayo Hotel
338,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
342,Pelotas,BR,72.18,broken clouds,-31.7719,-52.3425,Hotel Santiago
343,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,losmen Surya
350,Mahebourg,MU,77.29,shower rain,-20.4081,57.7,Grand Bel Air
352,San Cosme Y Damian,PY,84.18,clear sky,-27.3167,-56.35,Posada Alex
364,Beaufort,MY,84.45,overcast clouds,5.3473,115.7455,Rainbow Hotel
371,Sinnamary,GF,74.61,clear sky,5.3833,-52.95,Hôtel du fleuve
376,Binga,ZW,70.36,moderate rain,-17.6203,27.3414,Lake View Inn
381,Omboue,GA,74.93,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
384,Itaituba,BR,71.26,overcast clouds,-4.2761,-55.9836,TG Hotel
388,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Ocean Centre Hotel
394,Mananara,MG,75.24,overcast clouds,-16.1667,49.7667,Chez Roger
396,Porto Novo,BJ,80.42,clear sky,6.4965,2.6036,Hôtel 6500 CFA
398,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
403,Phan Thiet,VN,80.83,broken clouds,10.9333,108.1,Khách sạn Cà Ty
409,Karratha,AU,81.63,overcast clouds,-20.7377,116.8463,Karratha International Hotel
413,San Carlos,VE,73.24,broken clouds,9.6612,-68.5827,Hotel Villas del Norte
423,Neiafu,TO,86.68,light rain,-18.65,-173.9833,Port Wine Guest House
425,Eyl,SO,72.84,scattered clouds,7.9803,49.8164,فندق ايل دابي
436,Sao Sebastiao,BR,74.48,overcast clouds,-23.76,-45.4097,Hotel do Sol Executive
456,Tupancireta,BR,71.08,clear sky,-29.0806,-53.8358,Hotel Cassino
475,Esperance,AU,70.23,clear sky,-33.8667,121.9,Hospitality
483,Necochea,AR,73.42,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
487,Manokwari,ID,83.86,overcast clouds,-0.8667,134.0833,Hotel Arfak
489,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Hotel Meuligou
500,Tabou,CI,78.49,broken clouds,4.423,-7.3528,hôtel le rochet
506,Samut Songkhram,TH,75.6,scattered clouds,13.4,99.9583,บ้านอัมพวา Ban Amphawa
507,Maxixe,MZ,77.18,few clouds,-23.8597,35.3472,Hotel Herry
508,Cooma,AU,71.26,clear sky,-36.2333,149.1333,Royal Hotel
509,Bosaso,SO,71.89,clear sky,11.2842,49.1816,Bosaso hotel
519,Pisco,PE,71.65,light rain,-13.7,-76.2167,La Portada
525,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Osmar Hotel
532,Phanat Nikhom,TH,81.91,scattered clouds,13.4458,101.1844,ประภาวัลย์ อพาร์ตเมนต์
543,Maragogi,BR,77.34,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
546,Rio Grande,BR,72.48,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
559,Dabeiba,CO,71.6,overcast clouds,7.0017,-76.2672,Hotel Cactus
566,Panacan,PH,81.99,overcast clouds,9.2463,118.4082,Gorayan Lodge
569,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
571,Port Augusta,AU,77.25,overcast clouds,-32.5,137.7667,Hotel Commonwealth
576,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
585,Itarema,BR,76.96,broken clouds,-2.9248,-39.9167,Pousada Oásis
590,Santa Marta,CO,82.89,few clouds,11.2408,-74.199,Casa Mita
593,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
604,Kandi,BJ,70.9,broken clouds,11.1342,2.9386,God Blessing
606,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Mabassa
607,Kroya,ID,80.46,broken clouds,-7.6331,109.2461,Setia Hotel
617,Port Blair,IN,80.64,haze,11.6667,92.75,Andaman Ocean Breeze
620,Puerto Madryn,AR,77.31,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
623,Matara,LK,71.74,scattered clouds,5.9485,80.5353,Villa Palm Breeze
633,Axim,GH,78.89,clear sky,4.8699,-2.2405,Axim Beach Hotel
640,Mersing,MY,78.71,light rain,2.4312,103.8405,Mersing Inn Hotel
645,Pontes E Lacerda,BR,72.07,light rain,-15.2261,-59.3353,Hotel Avenida
649,Baracoa,CU,72.12,clear sky,20.3467,-74.4958,Casa
651,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,BENIN ROYAL HOTEL
654,Bajil,YE,73.33,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
655,Patos,BR,77.25,overcast clouds,-7.0244,-37.28,Hotel Zurique
657,Inongo,CD,74.79,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
667,Caravelas,BR,74.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
670,Bendigo,AU,72.64,clear sky,-36.7667,144.2833,Shamrock Hotel
675,Kalmunai,LK,76.6,broken clouds,7.4167,81.8167,Saji new food
677,Ternate,ID,82.0,overcast clouds,0.8,127.4,Boulivard ternate
682,Azul,AR,75.22,broken clouds,-36.777,-59.8585,Gran Hotel Azul
685,Mana,GF,74.53,clear sky,5.6592,-53.7767,Le Samana
686,Kawalu,ID,79.66,broken clouds,-7.3817,108.2082,Hotel Surya
689,Maumere,ID,78.84,moderate rain,-8.6199,122.2111,Bogor
693,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Mega Inn
696,Koumac,NC,76.84,overcast clouds,-20.5667,164.2833,Monitel Koumac
