City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Palmer,US,42.1584,-72.3287,37.15,87,100,5.75,moderate rain
1,Kavieng,PG,-2.5744,150.7967,83.48,70,97,4.41,light rain
2,Saskylakh,RU,71.9167,114.0833,-41.22,100,63,4.41,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,78.15,66,98,2.17,overcast clouds
4,Vaini,TO,-21.2,-175.2,87.96,79,40,13.8,light rain
5,Punta Arenas,CL,-53.15,-70.9167,51.91,93,0,5.75,clear sky
6,Avarua,CK,-21.2078,-159.775,82.45,78,75,18.41,broken clouds
7,Bereznik,RU,62.8551,42.7072,34.95,87,100,11.43,overcast clouds
8,Trimbak,IN,19.9333,73.55,59.0,37,8,2.37,clear sky
9,Cabo San Lucas,MX,22.8909,-109.9124,68.5,54,100,6.91,overcast clouds
10,Bethel,US,41.3712,-73.414,41.02,87,100,5.75,moderate rain
11,Bambanglipuro,ID,-7.95,110.2833,81.03,77,69,5.23,broken clouds
12,Namibe,AO,-15.1961,12.1522,72.72,80,100,2.48,overcast clouds
13,Victoria,HK,22.2855,114.1577,63.25,62,77,8.01,broken clouds
14,Inhambane,MZ,-23.865,35.3833,78.28,81,13,9.01,few clouds
15,Ulaanbaatar,MN,47.9077,106.8832,-20.07,69,75,2.24,smoke
16,Atuona,PF,-9.8,-139.0333,78.42,79,18,17.18,light rain
17,Abha,SA,18.2164,42.5053,48.45,71,0,0.0,clear sky
18,Svetlogorsk,BY,52.6333,29.7333,44.26,97,100,10.85,overcast clouds
19,Puro,PH,12.4841,123.3827,79.84,82,100,15.35,light rain
20,Salalah,OM,17.0151,54.0924,69.89,23,0,21.85,clear sky
21,Namatanai,PG,-3.6667,152.4333,85.01,66,100,5.91,light rain
22,Bathsheba,BB,13.2167,-59.5167,76.89,67,21,18.41,few clouds
23,Ushuaia,AR,-54.8,-68.3,50.63,94,100,1.61,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,18.43,71,100,24.9,light snow
25,Thompson,CA,55.7435,-97.8558,-0.24,85,75,5.75,broken clouds
26,Mareeba,AU,-17.0,145.4333,85.44,71,100,4.92,overcast clouds
27,Onega,RU,63.9061,38.1404,33.94,86,100,14.43,overcast clouds
28,Lerwick,GB,60.1545,-1.1494,37.4,77,72,20.83,light rain
29,Mataura,NZ,-46.1927,168.8643,54.95,97,100,2.75,light rain
30,Ilulissat,GL,69.2167,-51.1,-34.02,73,2,6.73,clear sky
31,New Norfolk,AU,-42.7826,147.0587,70.92,40,82,1.61,broken clouds
